Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
A2,2,2,-Infinity,Infinity
B2,1,2,-Infinity,2
A3,2,Infinity,-Infinity,2
A2,2,6,-Infinity,2
A3,2,6,-Infinity,2
B2,1,2,-Infinity,2
root,0,2,2,Infinity
B3,1,-Infinity,2,Infinity
B2,1,Infinity,2,Infinity
A2,2,0,2,Infinity
B2,1,0,2,Infinity
B3,1,0,2,Infinity
B4,1,-Infinity,2,Infinity
B2,1,Infinity,2,Infinity
A2,2,4,2,Infinity
B2,1,4,2,4
A3,2,Infinity,2,4
A2,2,6,2,4
A3,2,6,2,4
B2,1,4,2,4
B4,1,4,4,Infinity
B3,1,4,4,Infinity
root,0,4,4,Infinity
